Video_ID,Title,Artist,Channel,Published_At,URL,ImageURL
RZFQFq3y0VY,Greatest Arabic Songs Ever📌 أفضل 30 أغنية عربية الأكثر مشاهدة لـ حماقي، شيرين، رامي صبري، أحمد بتشان,Arabic Hit Songs,Arabic Hit Songs,2025-01-10T09:00:26Z,https://www.youtube.com/watch?v=RZFQFq3y0VY,https://i.ytimg.com/vi/RZFQFq3y0VY/mqdefault.jpg
0hs8mLODmsc,Marwan Khoury - Baashak Rouhik Feat Aline Lahoud (Official Audio) - مروان خوري - بعشق روحك,Marwan Khoury | مروان خوري,Marwan Khoury | مروان خوري,2013-01-18T10:06:02Z,https://www.youtube.com/watch?v=0hs8mLODmsc,https://i.ytimg.com/vi/0hs8mLODmsc/mqdefault.jpg
UJdtg-XtG1c,Fares Karam El Tannoura فارس كرم - التنورة,Rotana,Rotana,2012-10-07T21:29:55Z,https://www.youtube.com/watch?v=UJdtg-XtG1c,https://i.ytimg.com/vi/UJdtg-XtG1c/mqdefault.jpg
qDzDFSItK_0,Amr Diab - Ya Ana Ya La (Official Lyric Video) | (كلمات) عمرو دياب - يا أنا يا لاء,Amr Diab,Amr Diab,2020-12-28T14:28:49Z,https://www.youtube.com/watch?v=qDzDFSItK_0,https://i.ytimg.com/vi/qDzDFSItK_0/mqdefault.jpg
sc35bN7S1u4,Saria Al Sawas - Bas asmae Mini video clip |  سارية السواس - بس اسمع مني فيديو كليب,آلُِآوُتآرٍ آلُِذَهـبَية🎻 Alawtar Alzahabia,آلُِآوُتآرٍ آلُِذَهـبَية🎻 Alawtar Alzahabia,2024-04-12T18:00:23Z,https://www.youtube.com/watch?v=sc35bN7S1u4,https://i.ytimg.com/vi/sc35bN7S1u4/mqdefault.jpg
wqtv1Ns5X_s,احمد ستار - توبه | 2025  Ahmed Sattar - Tubah ( Official Music Video ),Ahmed Sattar - احمد ستار,Ahmed Sattar - احمد ستار,2025-04-07T14:00:07Z,https://www.youtube.com/watch?v=wqtv1Ns5X_s,https://i.ytimg.com/vi/wqtv1Ns5X_s/mqdefault.jpg
traaIt5bwJw,Bessan Ismail - Hayhat (Official Music Video) | بيسان اسماعيل - هيهات,Bessan Ismail Music,Bessan Ismail Music,2025-04-06T15:00:07Z,https://www.youtube.com/watch?v=traaIt5bwJw,https://i.ytimg.com/vi/traaIt5bwJw/mqdefault.jpg
aKCL3I5iQ18,Ahmed Saad - Wasa3 Wasa3 | Official Music Video - 2022 | احمد سعد - وسع وسع,Ahmed Saad,Ahmed Saad,2022-07-06T16:00:12Z,https://www.youtube.com/watch?v=aKCL3I5iQ18,https://i.ytimg.com/vi/aKCL3I5iQ18/mqdefault.jpg
O0_siCptaFk,Khaled Alhallak &amp; Bessan Ismail -  Al Sanad Simaytak | خالد الحلاق و بيسان اسماعيل - السند سميتك,خالد الحلاق | Khaled Alhallak ,خالد الحلاق | Khaled Alhallak ,2022-12-21T15:02:02Z,https://www.youtube.com/watch?v=O0_siCptaFk,https://i.ytimg.com/vi/O0_siCptaFk/mqdefault.jpg
D9JxlYg1XVI,Ahmed Saad - Ekhtayaraty | Official Music Video - 2023 | احمد سعد - اختياراتي,Ahmed Saad,Ahmed Saad,2023-06-22T14:01:33Z,https://www.youtube.com/watch?v=D9JxlYg1XVI,https://i.ytimg.com/vi/D9JxlYg1XVI/mqdefault.jpg
2avWqe3X6fM,"Top 30 Arabic Hit Songs Of All Time By Hamaki, Sherine, Ramy Gamal 🔊 أفضل موسيقى بوب عربية لعام",Arabic Songs,Arabic Songs,2024-11-30T04:01:39Z,https://www.youtube.com/watch?v=2avWqe3X6fM,https://i.ytimg.com/vi/2avWqe3X6fM/mqdefault.jpg
hAF8oe78znE,Sherine Songs Full Album ❤️ Top Arabic Songs by Sherine ❤️ أفضل الأغاني العربية على مر التاريخ,Arabic Songs,Arabic Songs,2025-02-28T04:19:00Z,https://www.youtube.com/watch?v=hAF8oe78znE,https://i.ytimg.com/vi/hAF8oe78znE/mqdefault.jpg
V8fEyhsEwN0,ماشل أغنية البداية 2 مدبلجة باللغة العربية | 『 Bling-Bang-Bang-Born 』Mashle  OP 2  full ARABIC cover,Birmo Salva,Birmo Salva,2024-02-07T11:59:00Z,https://www.youtube.com/watch?v=V8fEyhsEwN0,https://i.ytimg.com/vi/V8fEyhsEwN0/mqdefault.jpg
H9MUAiBeb3w,Bahaa Sultan - Ana Mn Gherak | 2024 | بهاء سلطان - انا من غيرك (من فيلم الهوى سلطان),Craft Media | كرافت ميديا,Craft Media | كرافت ميديا,2024-10-24T20:39:58Z,https://www.youtube.com/watch?v=H9MUAiBeb3w,https://i.ytimg.com/vi/H9MUAiBeb3w/mqdefault.jpg
QUBvVTNRp4Q,حسين الجسمي - بشرة خير (فيديو كليب) | Hussain Al Jassmi - Boshret Kheir | 2014,Hussain Al Jassmi | حسين الجسمي,Hussain Al Jassmi | حسين الجسمي,2014-05-16T19:03:39Z,https://www.youtube.com/watch?v=QUBvVTNRp4Q,https://i.ytimg.com/vi/QUBvVTNRp4Q/mqdefault.jpg
_Fwf45pIAtM,Saad Lamjarred - LM3ALLEM (Exclusive Music Video) |  (سعد لمجرد - لمعلم (فيديو كليب حصري,Saad Lamjarred | سعد لمجرد,Saad Lamjarred | سعد لمجرد,2015-05-02T14:28:37Z,https://www.youtube.com/watch?v=_Fwf45pIAtM,https://i.ytimg.com/vi/_Fwf45pIAtM/mqdefault.jpg
R8I3FOX7aZY,Sherine - Kalam Eineh | شيرين - كلام عينيه,Sherine,Sherine,2018-10-24T16:13:41Z,https://www.youtube.com/watch?v=R8I3FOX7aZY,https://i.ytimg.com/vi/R8I3FOX7aZY/mqdefault.jpg
Pf1Y0JtfMPU,أنشودة الخضروات - vegetables song in arabic,Osratouna tv - قناة أسرتنا,Osratouna tv - قناة أسرتنا,2018-12-02T15:08:02Z,https://www.youtube.com/watch?v=Pf1Y0JtfMPU,https://i.ytimg.com/vi/Pf1Y0JtfMPU/mqdefault.jpg
hXvWJNisAg4,Arabic FAN Song Anthem | Jabara Fan - Grini | Shah Rukh Khan | الأغنية العربية,YRF International,YRF International,2016-03-19T00:51:14Z,https://www.youtube.com/watch?v=hXvWJNisAg4,https://i.ytimg.com/vi/hXvWJNisAg4/mqdefault.jpg
9A4_GnALZd4,Lamis Kan - Mesaytara (Official Music Video)| لميس كان - مسيطرة #lamiskan #mesaytara #مسيطرة,Lamis Kan,Lamis Kan,2021-07-27T16:00:13Z,https://www.youtube.com/watch?v=9A4_GnALZd4,https://i.ytimg.com/vi/9A4_GnALZd4/mqdefault.jpg
MrBWRZcm89o,جورج وسوف أجمل أغاني جورج وسوف #جورج_وسوف #وسوفيات George Wassouf #سلطان_الطرب_جورج_وسوف,Mix Pro,Mix Pro,2024-11-07T02:30:12Z,https://www.youtube.com/watch?v=MrBWRZcm89o,https://i.ytimg.com/vi/MrBWRZcm89o/mqdefault.jpg
GosZtdEOOP0,محمود التركي - جمالك قاتل ( حصريا ) | 2024,  Mahmoud Alturki   l   محمود التركي,  Mahmoud Alturki   l   محمود التركي,2024-11-05T13:12:19Z,https://www.youtube.com/watch?v=GosZtdEOOP0,https://i.ytimg.com/vi/GosZtdEOOP0/mqdefault.jpg
mbrjP5UDL64,محمود التركي - عاشق مجنون ( فيديو كليب ) | 2023,  Mahmoud Alturki   l   محمود التركي,  Mahmoud Alturki   l   محمود التركي,2023-04-24T13:01:18Z,https://www.youtube.com/watch?v=mbrjP5UDL64,https://i.ytimg.com/vi/mbrjP5UDL64/mqdefault.jpg
1iWTl8DM7Rg,Maher Zain &amp; Humood - Tahayya | World Cup 2022 | ماهر زين و حمود الخضر - تهيّا,Awakening Music,Awakening Music,2022-11-23T16:00:07Z,https://www.youtube.com/watch?v=1iWTl8DM7Rg,https://i.ytimg.com/vi/1iWTl8DM7Rg/mqdefault.jpg
WnWoRcYGcjw,Siilawy - Elfy (Official Music Video) | الفي,Siilawy - سيلاوي,Siilawy - سيلاوي,2024-04-13T14:00:08Z,https://www.youtube.com/watch?v=WnWoRcYGcjw,https://i.ytimg.com/vi/WnWoRcYGcjw/mqdefault.jpg
EgmXTmj62ic,@AmrDiab - Tamally Maak | Official Music Video - HD Version | عمرو دياب - تملي معاك,Mazzika - مزيكا,Mazzika - مزيكا,2012-04-11T12:16:31Z,https://www.youtube.com/watch?v=EgmXTmj62ic,https://i.ytimg.com/vi/EgmXTmj62ic/mqdefault.jpg
9AXWuVmr6d4,Maryam Shehab - غصن رمان (Official Audio),Maryam Shehab,Maryam Shehab,2024-12-10T01:36:32Z,https://www.youtube.com/watch?v=9AXWuVmr6d4,https://i.ytimg.com/vi/9AXWuVmr6d4/mqdefault.jpg
TsdV-V_uLw8,At The Cinema Door - Amir Eid | ENG Lyrics | على باب السيما - أمير عيد,A. G,A. G,2024-01-19T21:26:29Z,https://www.youtube.com/watch?v=TsdV-V_uLw8,https://i.ytimg.com/vi/TsdV-V_uLw8/mqdefault.jpg
-EyiwRGO9-Y,افضل 5 اغاني رومانسية اليسا,Mohamed Music,Mohamed Music,2024-11-12T21:59:27Z,https://www.youtube.com/watch?v=-EyiwRGO9-Y,https://i.ytimg.com/vi/-EyiwRGO9-Y/mqdefault.jpg
xauPm5HDFR4,Hamaki Full Album _ Best Arabic Songs of All Time ♫ مجموعة من أروع أغاني حماقي الرومانسية والدراما,Arabic Songs,Arabic Songs,2024-12-02T04:16:16Z,https://www.youtube.com/watch?v=xauPm5HDFR4,https://i.ytimg.com/vi/xauPm5HDFR4/mqdefault.jpg
JQ51XBDXujU,Ragheb Alama - Elli Baana  (Official Lyrics Video) / راغب علامة - اللي باعنا,Ragheb Alama,Ragheb Alama,2018-10-02T11:15:42Z,https://www.youtube.com/watch?v=JQ51XBDXujU,https://i.ytimg.com/vi/JQ51XBDXujU/mqdefault.jpg
LLXMUUK2Ef8,Odai Zagha - Sheikh Al Arab (Official Music Video) Exclusive | عـدي زاغة - شـيخ الـعرب,Odai Zagha عدي زاغة,Odai Zagha عدي زاغة,2025-02-03T15:00:33Z,https://www.youtube.com/watch?v=LLXMUUK2Ef8,https://i.ytimg.com/vi/LLXMUUK2Ef8/mqdefault.jpg
ERqfrBGlVv8,El Donia Helwa | Nancy Ajram | Indonesian Translation | الدنيا حلوة | نانسي عجرم,NancyAjramNAFCI,NancyAjramNAFCI,2019-06-08T12:48:07Z,https://www.youtube.com/watch?v=ERqfrBGlVv8,https://i.ytimg.com/vi/ERqfrBGlVv8/mqdefault.jpg
gnMdTTeY1FY,ياسر عبد الوهاب &amp; زيد الحبيب - قلبي ( حصرياً ) Yaser Abd Alwahab ft Zaid Alhabeeb - Qalby - 2022,Yaser Abd Alwahab | ياسر عبد الوهاب,Yaser Abd Alwahab | ياسر عبد الوهاب,2022-10-12T14:59:15Z,https://www.youtube.com/watch?v=gnMdTTeY1FY,https://i.ytimg.com/vi/gnMdTTeY1FY/mqdefault.jpg
cTXLxXj88kw,Ahmed Saad - Aleky Eyoun ( Full Version - 2022 ) احمد سعد - عليكي عيون,Ahmed Saad,Ahmed Saad,2022-02-23T15:00:11Z,https://www.youtube.com/watch?v=cTXLxXj88kw,https://i.ytimg.com/vi/cTXLxXj88kw/mqdefault.jpg
We-VzLatuOU,Haitham Sa&#39;eid - Homma Malhom /  هيثم سعيد  -   هما مالهم بينا يا ليل,Melody Music Records,Melody Music Records,2009-01-19T18:37:31Z,https://www.youtube.com/watch?v=We-VzLatuOU,https://i.ytimg.com/vi/We-VzLatuOU/mqdefault.jpg
INJSYLVA_fg,Fadl Shaker &amp; Yara - Akhedni Maak | Official Music Video | فضل شاكر و يارا - خدنى معك,Rotana,Rotana,2012-10-07T20:09:48Z,https://www.youtube.com/watch?v=INJSYLVA_fg,https://i.ytimg.com/vi/INJSYLVA_fg/mqdefault.jpg
WYwa_Xao_CA,Greatest Arabic Songs Ever ♥أفضل 30 أغنية عربية الأكثر مشاهدة لـ حماقي، شيرين، رامي صبري، أحمد بتشان,Arabic Songs,Arabic Songs,2024-11-20T04:04:26Z,https://www.youtube.com/watch?v=WYwa_Xao_CA,https://i.ytimg.com/vi/WYwa_Xao_CA/mqdefault.jpg
5mJ1xTHYFEw,Cyrine Abdul Noor - Law Bass Fe Eyne سيرين عبد النور - لو بص في عيني,Rotana,Rotana,2012-10-05T23:30:46Z,https://www.youtube.com/watch?v=5mJ1xTHYFEw,https://i.ytimg.com/vi/5mJ1xTHYFEw/mqdefault.jpg
Z5IpcUxKAv8,Wadih El Cheikh - Khatar 3al Kawkab (Official Lyric Video) | وديع الشيخ - خطر عالكوكب,Wadih El Cheikh,Wadih El Cheikh,2025-03-30T17:00:11Z,https://www.youtube.com/watch?v=Z5IpcUxKAv8,https://i.ytimg.com/vi/Z5IpcUxKAv8/mqdefault.jpg
ejvpVhvKesM,Abu Ft. Yousra - 3 Daqat | Official Music Video | أبو و يسرا - ثلاث دقات,Abu music,Abu music,2017-10-12T11:49:52Z,https://www.youtube.com/watch?v=ejvpVhvKesM,https://i.ytimg.com/vi/ejvpVhvKesM/mqdefault.jpg
guCwdHngTmM,Hamza Namira - Fady Shewaya | حمزة نمرة - فاضي شوية,Hamza Namira,Hamza Namira,2020-12-30T17:00:10Z,https://www.youtube.com/watch?v=guCwdHngTmM,https://i.ytimg.com/vi/guCwdHngTmM/mqdefault.jpg
RsNyLc7k6QQ,Ragheb Alama - Nasini El Donya | Official Music Video | راغب علامة - نسينى الدنيا,Mazzika - مزيكا,Mazzika - مزيكا,2011-12-11T15:55:24Z,https://www.youtube.com/watch?v=RsNyLc7k6QQ,https://i.ytimg.com/vi/RsNyLc7k6QQ/mqdefault.jpg
VZAkoOVfrPg,Najwa Karam - Zein Al Zein | Official Music Video 2025 | نجوى كرم - زين الزين,Rotana,Rotana,2025-05-06T15:00:07Z,https://www.youtube.com/watch?v=VZAkoOVfrPg,https://i.ytimg.com/vi/VZAkoOVfrPg/mqdefault.jpg
t_N88_sndVs,Rola Kadri - Ya Ghali (Guitara Band) | رولا قادري - يا غالي,Rola Kadri,Rola Kadri,2020-12-26T17:00:20Z,https://www.youtube.com/watch?v=t_N88_sndVs,https://i.ytimg.com/vi/t_N88_sndVs/mqdefault.jpg
QeqEtooRhWc,Nassif Zeytoun - Mich Aam Tezbat Maii [Official Music Video] / ناصيف زيتون - مش عم تظبط معي,Nassif Zeytoun,Nassif Zeytoun,2014-08-21T00:12:00Z,https://www.youtube.com/watch?v=QeqEtooRhWc,https://i.ytimg.com/vi/QeqEtooRhWc/mqdefault.jpg
geQOJSmbhYY,Bessan Ismail - يا خلي (Official Music Video) | بيسان إسماعيل,Bessan Ismail Music,Bessan Ismail Music,2024-10-04T15:00:32Z,https://www.youtube.com/watch?v=geQOJSmbhYY,https://i.ytimg.com/vi/geQOJSmbhYY/mqdefault.jpg
qSil6ttEg30,Fadel Chaker - Ya Ghayeb (Exclusive Lyrics Video) | فضل شاكر - يا غايب,Fadel Chaker,Fadel Chaker,2020-06-13T17:29:49Z,https://www.youtube.com/watch?v=qSil6ttEg30,https://i.ytimg.com/vi/qSil6ttEg30/mqdefault.jpg
h1WQB58INzg,على شو تهل وتدمع - نوار الحسن - ترند مسلسل نسمات أيلول | اغاني تيك توك طرب 2025,SE Studio,SE Studio,2025-03-14T17:11:55Z,https://www.youtube.com/watch?v=h1WQB58INzg,https://i.ytimg.com/vi/h1WQB58INzg/mqdefault.jpg
1Q9jbYlxOs0,أنس كريم - كليب الطلقة الروسية  / (Anas Kareem - Tala2a Al Roussiyeh [Clip] (2014,بابلي تولز | Publitools,بابلي تولز | Publitools,2014-02-04T00:28:02Z,https://www.youtube.com/watch?v=1Q9jbYlxOs0,https://i.ytimg.com/vi/1Q9jbYlxOs0/mqdefault.jpg
SKfi0V8NRhQ,Tamer Ashour - Khaleeny Fi Hodnak | تامر عاشور - خليني في حضنك,Tamer Ashour,Tamer Ashour,2022-01-20T15:20:50Z,https://www.youtube.com/watch?v=SKfi0V8NRhQ,https://i.ytimg.com/vi/SKfi0V8NRhQ/mqdefault.jpg
EI2oxQd95z4,Assala &amp; Ahmed Saad - Sabb Farhety | أصالة وأحمد سعد - سبب فرحتي | أغنية عيد الحب كاملة 2024,Assala Nasri,Assala Nasri,2024-02-14T15:00:09Z,https://www.youtube.com/watch?v=EI2oxQd95z4,https://i.ytimg.com/vi/EI2oxQd95z4/mqdefault.jpg
xHMd2LLNYn8,ما تيجي نركن الزعل - ليل المحمدي - ( البوم عشوائي 1 ) | Lil Elmohamedy - Ma Tigy Nerkn Elzaal,ليل - Lil ElMohamdy,ليل - Lil ElMohamdy,2025-01-08T16:00:06Z,https://www.youtube.com/watch?v=xHMd2LLNYn8,https://i.ytimg.com/vi/xHMd2LLNYn8/mqdefault.jpg
y70feYy4MU0,Wael Jassar - Koul Waad [ Official Video Clip ] | وائل جسار - كل وعد,Viral Wave,Viral Wave,2024-02-12T15:00:47Z,https://www.youtube.com/watch?v=y70feYy4MU0,https://i.ytimg.com/vi/y70feYy4MU0/mqdefault.jpg
WOPMpEjSGSs,سلمى رشيد - سمعني نبضك  ( فيديو كليب ) | حصريا - Salma Rachid - Samaani Nabdak,HFM.Productions - همام حسن,HFM.Productions - همام حسن,2015-05-06T08:03:40Z,https://www.youtube.com/watch?v=WOPMpEjSGSs,https://i.ytimg.com/vi/WOPMpEjSGSs/mqdefault.jpg
Vx96oeBnD7c,عوف الغيرة | اغنيه غزل وعتاب ناعم باللهجة العراقية 💘 | اغاني حب جديدة 2025 | Yazo Mix,Yazo Mix,Yazo Mix,2025-05-22T14:48:03Z,https://www.youtube.com/watch?v=Vx96oeBnD7c,https://i.ytimg.com/vi/Vx96oeBnD7c/mqdefault.jpg
XEHb2D4mNzg,Ahmed Batshan - Beiny W Beinak (Official Music Video) [2020]|(أحمد بتشان– بيني و بينك (الكليب الرسمي,Nogoum Records,Nogoum Records,2020-02-22T14:00:10Z,https://www.youtube.com/watch?v=XEHb2D4mNzg,https://i.ytimg.com/vi/XEHb2D4mNzg/mqdefault.jpg
Dzbded6Hlb4,Ahmed Batshan - Abeltak Emta | Official Lyrics Video | أحمد بتشان - قابلتك امتى,مودرن ميوزيك - Modern Music,مودرن ميوزيك - Modern Music,2018-12-17T11:45:25Z,https://www.youtube.com/watch?v=Dzbded6Hlb4,https://i.ytimg.com/vi/Dzbded6Hlb4/mqdefault.jpg
InalcSwrMTA,Hob Kol Hayaty ... Elissa - Lyrics| حب كل حياتي ... إليسا - كلمات,Rotana,Rotana,2014-07-24T20:20:06Z,https://www.youtube.com/watch?v=InalcSwrMTA,https://i.ytimg.com/vi/InalcSwrMTA/mqdefault.jpg
amyJSfeUvvY,2025 l رحمه محسن &amp; أحمد العوضي - حفلة تنكرية - أغنية الفرح مسلسل فهد البطل,Nj Music Productions,Nj Music Productions,2025-03-14T19:30:06Z,https://www.youtube.com/watch?v=amyJSfeUvvY,https://i.ytimg.com/vi/amyJSfeUvvY/mqdefault.jpg
T0AA8GvHzhY,اغنية انت اختيار - تامر حسني من فيلم بحبك / Tamer Hosny Enta Ekhtyar,Tamer Hosny,Tamer Hosny,2022-08-04T19:30:10Z,https://www.youtube.com/watch?v=T0AA8GvHzhY,https://i.ytimg.com/vi/T0AA8GvHzhY/mqdefault.jpg
Xno24NdFZiI,Tamer Ashour - 7obk Rezk | تامر عاشور - حبك رزق,Tamer Ashour,Tamer Ashour,2025-01-15T17:50:06Z,https://www.youtube.com/watch?v=Xno24NdFZiI,https://i.ytimg.com/vi/Xno24NdFZiI/mqdefault.jpg
jZT1wwBV6m8,Mayada El Hennawy - Bayent El Hob Alaya | ميادة الحناوي - بينت الحب عليا,Mayada El Hennawy - ميادة الحناوي,Mayada El Hennawy - ميادة الحناوي,2015-12-02T15:06:29Z,https://www.youtube.com/watch?v=jZT1wwBV6m8,https://i.ytimg.com/vi/jZT1wwBV6m8/mqdefault.jpg
aktY1vejF9Y,Hussain Al Jassmi - Fostanek Al Abyad | حسين الجسمي - فستانك الأبيض من حفل زفاف هشام جمال وليلى زاهر,Roznama Records,Roznama Records,2025-04-24T20:50:31Z,https://www.youtube.com/watch?v=aktY1vejF9Y,https://i.ytimg.com/vi/aktY1vejF9Y/mqdefault.jpg
Jl0-DnLwyc0,Ahmed Fahmi - Ehsas Ghareib Feat Mahmoud El Esseily (Official Clip) / أحمد فهمى - إحساس غريب,Ahmed Fahmi,Ahmed Fahmi,2013-01-02T18:37:38Z,https://www.youtube.com/watch?v=Jl0-DnLwyc0,https://i.ytimg.com/vi/Jl0-DnLwyc0/mqdefault.jpg
6jkFPCH6TFQ,Nedaa Shrara - W Ma&#39;aak [Official Video] (2023) / نداء شرارة - ومعاك,Nedaa Shrara | نداء شرارة,Nedaa Shrara | نداء شرارة,2023-09-22T14:00:09Z,https://www.youtube.com/watch?v=6jkFPCH6TFQ,https://i.ytimg.com/vi/6jkFPCH6TFQ/mqdefault.jpg
